id,code,name
2557,IBIO 536 01,Immunobiology Seminar: Translational Immunology
2558,IBIO 600 01,Introduction to Research: Faculty Research Presentations
2559,IBIO 611 01,Research Rotation 1
2560,IBIO 612 01,Research Rotation 2
2562,IMED 625 01,Principles of Clinical Research
2563,IMED 630 01,Ethical Issues in Biomedical Research
2564,IMED 635 01,Directed Reading in Investigative Medicine
2565,IMED 645 01,Introduction to Biostatistics in Clinical Investigation
2566,IMED 660 01,"Methods in Clinical Research, Part I"
2567,IMED 661 01,"Methods in Clinical Research, Part II"
2568,IMED 665 01,Writing Your K- or R-Type Grant Proposal
2569,INDN 110 01,Elementary Indonesian I
2570,INDN 110 02,Elementary Indonesian I
2571,INDN 130 01,Intermediate Indonesian I
2572,INDN 130 02,Intermediate Indonesian I
2573,INDN 130 03,Intermediate Indonesian I
2574,INDN 150 01,Advanced Indonesian I
2575,INDN 170 01,Advanced Indonesian: Special Topics
2576,INDN 470 01,Independent Tutorial
2577,INDN 570 01,Readings in Indonesian
2578,INDN 570 02,Readings in Indonesian
2579,INP 510 01,Structural and Functional Organization of the Human Nervous System
2580,INP 511 01,Lab Rotation for First-Year Students
2581,INP 513 01,Second-Year Thesis Research
2582,INP 542 01,Developing and Writing Fellowship Proposals
2583,INP 552 01,Critical Thinking in Learning and Memory
2586,INP 610 01,Advanced Topics in Neurogenomics
2586,GENE 680 01,Advanced Topics in Neurogenomics
2588,INP 701 01,Principles of Neuroscience
2589,INP 702 01,Foundations of Cellular and Molecular Neurobiology
2590,INP 720 01,Neurobiology
2590,MCDB 720 01,Neurobiology
2591,ITAL 110 01,Elementary Italian I
2592,ITAL 110 02,Elementary Italian I
2593,ITAL 110 03,Elementary Italian I
2594,ITAL 110 04,Elementary Italian I
2595,ITAL 110 05,Elementary Italian I
2596,ITAL 110 06,Elementary Italian I
2597,ITAL 110 07,Elementary Italian I
2598,ITAL 130 01,Intermediate Italian I
2599,ITAL 130 02,Intermediate Italian I
2600,ITAL 130 03,Intermediate Italian I
2601,ITAL 130 04,Intermediate Italian I
2602,ITAL 130 05,Intermediate Italian I
2603,ITAL 130 06,Intermediate Italian I
2604,ITAL 150 01,Advanced Composition and Conversation:
2605,ITAL 159 01,History and Culture of Naples
2606,ITAL 162 01,Introduction to Italian Literature: From the Duecento to the Renaissance
2607,ITAL 306 01,Spotlight on Sicily in Literature and Film
2607,FILM 366 01,Spotlight on Sicily in Literature and Film
2608,ITAL 306 02,Spotlight on Sicily in Literature and Film
2608,FILM 366 02,Spotlight on Sicily in Literature and Film
2609,ITAL 310 01,Dante in Translation
2609,HUMS 180 01,Dante in Translation
2609,LITR 183 01,Dante in Translation
2612,ITAL 347 01,Black Queer Jewish Italy
2612,JDST 299 01,Black Queer Jewish Italy
2612,LITR 385 01,Black Queer Jewish Italy
2612,WGSS 358 01,Black Queer Jewish Italy
2613,ITAL 470 01,Special Studies in Italian Literature
2614,ITAL 471 01,Special Studies in Italian Literature
2615,ITAL 491 01,The Senior Essay
2616,ITAL 691 01,Directed Reading
2617,ITAL 783 01,"Italian Film Ecologies: Yesterday, Today, and Tomorrow"
2617,FILM 779 01,"Italian Film Ecologies: Yesterday, Today, and Tomorrow"
2618,ITAL 948 01,Theorizing the Modern Subject
2619,ITAL 999 01,Preparing for Doctoral Exams and Prospectus Writing
2620,JAPN 110 01,Elementary Japanese I
2621,JAPN 110 02,Elementary Japanese I
2622,JAPN 110 03,Elementary Japanese I
2623,JAPN 110 04,Elementary Japanese I
2624,JAPN 110 05,Elementary Japanese I
2625,JAPN 110 06,Elementary Japanese I
2626,JAPN 130 01,Intermediate Japanese I
2627,JAPN 130 02,Intermediate Japanese I
2628,JAPN 130 03,Intermediate Japanese I
2629,JAPN 150 01,Advanced Japanese I
2630,JAPN 150 02,Advanced Japanese I
2631,JAPN 156 01,Advanced Japanese III
2632,JAPN 170 01,Introduction to Literary Japanese
2632,JAPN 570 01,Introduction to Literary Japanese
2633,JDST 127 01,Christians in Early Jewish Sources
2633,JDST 707 01,Christians in Early Jewish Sources
2633,RLST 220 01,Christians in Early Jewish Sources
2633,RLST 683 01,Christians in Early Jewish Sources
2641,JDST 339 01,The Classics of Modern Hebrew Literature
2641,LITR 418 01,The Classics of Modern Hebrew Literature
2641,MMES 418 01,The Classics of Modern Hebrew Literature
2641,RLST 203 01,The Classics of Modern Hebrew Literature
2642,JDST 339 02,The Classics of Modern Hebrew Literature
2646,JDST 361 01,The Yiddish Classics and Modernity
2648,JDST 378 01,The Diversity of Jewish Society in the Middle Ages
2651,JDST 491 01,The Senior Essay
2652,JDST 673 01,Introduction to Babylonian Aramaic
2652,SMTC 534 01,Introduction to Babylonian Aramaic
2654,KHMR 110 01,Elementary Khmer I
2655,KHMR 130 01,Intermediate Khmer I
2656,KREN 110 01,Elementary Korean I
2657,KREN 110 02,Elementary Korean I
2658,KREN 110 03,Elementary Korean I
2659,KREN 110 04,Elementary Korean I
2660,KREN 110 05,Elementary Korean I
2661,KREN 130 01,Intermediate Korean I
2662,KREN 130 02,Intermediate Korean I
2663,KREN 130 03,Intermediate Korean I
2664,KREN 132 01,Intermediate Korean for Advanced Learners I
2665,KREN 150 01,Advanced Korean I: Korean Language and Culture through K-Pop Music
2666,KREN 152 01,Advanced Korean for Advanced Learners
2667,KREN 152 02,Advanced Korean for Advanced Learners
2668,LAST 100 01,"Introduction to Latin American Studies: History, Culture and Society"
2668,HIST 305 01,"Introduction to Latin American Studies: History, Culture and Society"
2688,LAST 491 01,The Senior Essay
2689,LATN 110 01,Beginning Latin: The Elements of Latin Grammar
2690,LATN 110 02,Beginning Latin: The Elements of Latin Grammar
2691,LATN 131 01,Latin Prose: An Introduction
2692,LATN 411 01,Early Rome from Aeneas to Romulus
2693,LATN 421 01,Vergil's Aeneid
2693,LATN 721 01,Vergil's Aeneid
2694,LATN 444 01,Roman Consolation Literature: Seneca and Boethius
2695,LATN 745 01,Roman Consolation Literature: Seneca and Boethius
2696,LAW 10001 01,Constitutional Law I: Constitutional Law I: Group 1
2697,LAW 10001 02,Constitutional Law I: Constitutional Law I: Group 2
2698,LAW 10001 03,Constitutional Law I: Constitutional Law I: Group 3
2699,LAW 10001 04,Constitutional Law I: Constitutional Law I: Group 4
2700,LAW 10001 05,Constitutional Law I: Constitutional Law I: Group 5
2701,LAW 10001 06,Constitutional Law I: Constitutional Law I: Group 6
2702,LAW 10001 07,Constitutional Law I: Constitutional Law I: Group 7
2703,LAW 10001 08,Constitutional Law I: Constitutional Law I: Group 8
2704,LAW 10001 09,Constitutional Law I: Constitutional Law I: Group 9
2705,LAW 10001 A,Constitutional Law I: ConstitutionalLaw I: Section A
2706,LAW 11001 01,Contracts I: Contracts I: Group 1
2707,LAW 11001 02,Contracts I: Contracts I: Group 2
2708,LAW 11001 03,Contracts I: Contracts I: Group 3
2709,LAW 11001 A,Contracts I: Contracts I: Section A
2710,LAW 11001 B,Contracts I: Contracts I: Section B
2711,LAW 12001 A,Procedure I: Procedure I: Section A
2712,LAW 12001 B,Procedure I: Procedure I: Section B
2713,LAW 14001 01,Criminal Law & Admin I: Criminal Law &Admin I: Group 1
2714,LAW 14001 A,Criminal Law & Admin I: Criminal Law & Admin I: Sect A
2715,LAW 14001 B,Criminal Law & Admin I: Criminal Law & Admin I: Sect B
2716,LAW 20005 01,Aging and the Law: Seminar
2717,LAW 20007 01,Antitrust: Directed Research
2718,LAW 20008 01,Legal Practicum
2719,LAW 20013 01,Property: Seminar
2720,LAW 20020 01,Criminal Law Theory: Directed Research
2721,LAW 20032 01,Advanced Legal Writing
2722,LAW 20036 01,"Law, Economics, and Organization"
2723,LAW 20037 01,Employment Discrimination Law
2725,LAW 20040 01,Public Order of the World Community: A Contemporary International Law
2726,LAW 20049 01,The Anti-Tax Movement and the Transformation of US Politics and Policy
2727,LAW 20065 01,Law and Policy in the Governance of Outer Space
2729,LAW 20097 01,Medical Legal Partnerships
2730,LAW 20104 01,Social Justice
2730,PLSC 553 01,Social Justice
2732,LAW 20109 01,Advanced Constitutional Law
2733,LAW 20124 01,Originalism and the Living Constitution
2734,LAW 20134 01,Human Rights Workshop: Current Issues and Events
2735,LAW 20139 01,Legal History Forum
2736,LAW 20160 01,Econometric Data Science
2736,ECON 250 01,Econometric Data Science
2737,LAW 20175 01,Antitrust: Directed Research
2738,LAW 20199 01,[The] Business of Law Firms
2739,LAW 20201 01,Advanced Constitutional Law: Directed Research
2740,LAW 20202 01,"Property, Natural Resources, Environmental Law, and Land Use: Supervised Research"
2741,LAW 20207 01,Property and Regulation
2742,LAW 20219 01,Business Organizations
2743,LAW 20222 01,Federal Income Taxation
2744,LAW 20226 01,Evidence
