id,date,count
2542,09/12,27
2542,09/13,27
2542,09/14,27
2542,09/15,27
2551,09/09,30
2551,09/10,30
2551,09/11,30
2551,09/12,30
2551,09/13,30
2551,09/14,30
2551,09/15,30
2553,09/09,5
2553,09/10,5
2553,09/11,5
2553,09/12,5
2553,09/13,5
2553,09/14,5
2553,09/15,5
2555,09/09,12
2555,09/10,12
2555,09/11,12
2555,09/12,12
2555,09/13,12
2555,09/14,12
2555,09/15,12
2557,09/09,14
2557,09/10,14
2557,09/11,13
2557,09/12,13
2557,09/13,13
2557,09/14,11
2557,09/15,11
2558,09/09,11
2558,09/10,11
2558,09/11,11
2558,09/12,11
2558,09/13,11
2558,09/14,11
2558,09/15,11
2559,09/09,11
2559,09/10,11
2559,09/11,11
2559,09/12,11
2559,09/13,11
2559,09/14,11
2559,09/15,11
2560,09/09,11
2560,09/10,11
2560,09/11,11
2560,09/12,11
2560,09/13,11
2560,09/14,11
2560,09/15,11
2562,09/09,2
2562,09/10,2
2562,09/11,2
2562,09/12,2
2562,09/13,2
2562,09/14,2
2562,09/15,2
2563,09/09,6
2563,09/10,6
2563,09/11,6
2563,09/12,6
2563,09/13,6
2563,09/14,6
2563,09/15,6
2564,09/09,3
2564,09/10,3
2564,09/11,3
2564,09/12,3
2564,09/13,3
2564,09/14,3
2564,09/15,3
2565,09/09,9
2565,09/10,9
2565,09/11,9
2565,09/12,9
2565,09/13,9
2565,09/14,10
2565,09/15,10
2566,09/09,2
2566,09/10,2
2566,09/11,2
2566,09/12,2
2566,09/13,2
2566,09/14,2
2566,09/15,2
2567,09/09,2
2567,09/10,2
2567,09/11,2
2567,09/12,2
2567,09/13,2
2567,09/14,2
2567,09/15,2
2568,09/09,1
2568,09/10,1
2568,09/11,1
2568,09/12,1
2568,09/13,1
2568,09/14,1
2568,09/15,1
2569,09/09,31
2569,09/10,31
2569,09/11,31
2569,09/12,31
2569,09/13,31
2569,09/14,31
2569,09/15,31
2570,09/09,32
2570,09/10,32
2570,09/11,32
2570,09/12,32
2570,09/13,32
2570,09/14,32
2570,09/15,32
2571,09/09,22
2571,09/10,22
2571,09/11,22
2571,09/12,22
2571,09/13,22
2571,09/14,22
2571,09/15,22
2572,09/09,23
2572,09/10,23
2572,09/11,23
2572,09/12,23
2572,09/13,23
2572,09/14,23
2572,09/15,23
2573,09/09,11
2573,09/10,11
2573,09/11,11
2573,09/12,11
2573,09/13,11
2573,09/14,11
2573,09/15,11
2574,09/09,9
2574,09/10,9
2574,09/11,9
2574,09/12,9
2574,09/13,9
2574,09/14,9
2574,09/15,9
2575,09/09,5
2575,09/10,5
2575,09/11,5
2575,09/12,5
2575,09/13,5
2575,09/14,5
2575,09/15,5
2576,09/09,1
2576,09/10,1
2576,09/11,1
2576,09/12,1
2576,09/13,1
2576,09/14,1
2576,09/15,1
2577,09/09,0
2577,09/10,0
2577,09/11,0
2577,09/12,0
2577,09/13,0
2577,09/14,0
2577,09/15,0
2578,09/09,0
2578,09/10,0
2578,09/11,0
2578,09/12,0
2578,09/13,0
2578,09/14,0
2578,09/15,0
2579,09/09,5
2579,09/10,5
2579,09/11,5
2579,09/12,5
2579,09/13,5
2579,09/14,5
2579,09/15,5
2580,09/09,21
2580,09/10,21
2580,09/11,21
2580,09/12,21
2580,09/13,22
2580,09/14,22
2580,09/15,23
2581,09/09,21
2581,09/10,21
2581,09/11,21
2581,09/12,23
2581,09/13,25
2581,09/14,26
2581,09/15,26
2582,09/09,0
2582,09/10,0
2582,09/11,0
2582,09/12,0
2582,09/13,0
2582,09/14,0
2582,09/15,0
2583,09/09,7
2583,09/10,7
2583,09/11,7
2583,09/12,6
2583,09/13,6
2583,09/14,6
2583,09/15,6
2586,09/09,11
2586,09/10,10
2586,09/11,11
2586,09/12,11
2586,09/13,11
2586,09/14,11
2586,09/15,11
2588,09/09,33
2588,09/10,33
2588,09/11,33
2588,09/12,33
2588,09/13,31
2588,09/14,31
2588,09/15,31
2589,09/09,26
2589,09/10,26
2589,09/11,26
2589,09/12,25
2589,09/13,25
2589,09/14,25
2589,09/15,25
2590,09/09,2
2590,09/10,2
2590,09/11,2
2590,09/12,2
2590,09/13,2
2590,09/14,2
2590,09/15,2
2591,09/09,14
2591,09/10,14
2591,09/11,14
2591,09/12,14
2591,09/13,14
2591,09/14,14
2591,09/15,14
2592,09/09,0
2592,09/10,0
2592,09/11,0
2592,09/12,0
2592,09/13,0
2592,09/14,0
2592,09/15,0
2593,09/09,17
2593,09/10,17
2593,09/11,17
2593,09/12,17
2593,09/13,17
2593,09/14,17
2593,09/15,17
2594,09/09,19
2594,09/10,19
2594,09/11,19
2594,09/12,19
2594,09/13,19
2594,09/14,19
2594,09/15,19
2595,09/09,18
2595,09/10,18
2595,09/11,18
2595,09/12,18
2595,09/13,18
2595,09/14,18
2595,09/15,18
2596,09/09,18
2596,09/10,18
2596,09/11,18
2596,09/12,18
2596,09/13,18
2596,09/14,18
2596,09/15,18
2597,09/09,11
2597,09/10,11
2597,09/11,11
2597,09/12,11
2597,09/13,11
2597,09/14,11
2597,09/15,11
2598,09/09,16
2598,09/10,16
2598,09/11,15
2598,09/12,15
2598,09/13,15
2598,09/14,15
2598,09/15,15
2599,09/09,21
2599,09/10,21
2599,09/11,21
2599,09/12,21
2599,09/13,19
2599,09/14,19
2599,09/15,19
2600,09/09,20
2600,09/10,20
2600,09/11,20
2600,09/12,20
2600,09/13,17
2600,09/14,16
2600,09/15,16
2601,09/09,15
2601,09/10,15
2601,09/11,15
2601,09/12,15
2601,09/13,15
2601,09/14,15
2601,09/15,15
2602,09/09,16
2602,09/10,16
2602,09/11,16
2602,09/12,16
2602,09/13,16
2602,09/14,16
2602,09/15,16
2603,09/09,0
2603,09/10,0
2603,09/11,0
2603,09/12,0
2603,09/13,6
2603,09/14,9
2603,09/15,10
2604,09/09,0
2604,09/10,0
2604,09/11,0
2604,09/12,0
2604,09/13,0
2604,09/14,0
2604,09/15,0
2605,09/09,18
2605,09/10,18
2605,09/11,18
2605,09/12,18
2605,09/13,18
2605,09/14,18
2605,09/15,18
2606,09/09,18
2606,09/10,18
2606,09/11,18
2606,09/12,18
2606,09/13,18
2606,09/14,18
2606,09/15,18
2607,09/09,0
2607,09/10,0
2607,09/11,0
2607,09/12,0
2607,09/13,0
2607,09/14,0
2607,09/15,0
2608,09/09,19
2608,09/10,19
2608,09/11,19
2608,09/12,20
2608,09/13,20
2608,09/14,20
2608,09/15,20
2609,09/09,24
2609,09/10,24
2609,09/11,24
2609,09/12,24
2609,09/13,24
2609,09/14,23
2609,09/15,23
2612,09/09,10
2612,09/10,10
2612,09/11,10
2612,09/12,10
2612,09/13,10
2612,09/14,9
2612,09/15,9
2613,09/09,1
2613,09/10,1
2613,09/11,1
2613,09/12,1
2613,09/13,1
2613,09/14,1
2613,09/15,1
2614,09/09,0
2614,09/10,0
2614,09/11,0
2614,09/12,0
2614,09/13,0
2614,09/14,0
2614,09/15,0
2615,09/09,0
2615,09/10,0
2615,09/11,0
2615,09/12,0
2615,09/13,0
2615,09/14,0
2615,09/15,0
2616,09/09,2
2616,09/10,2
2616,09/11,2
2616,09/12,2
2616,09/13,2
2616,09/14,2
2616,09/15,2
2617,09/09,7
2617,09/10,7
2617,09/11,7
2617,09/12,7
2617,09/13,7
2617,09/14,7
2617,09/15,7
2618,09/09,5
2618,09/10,5
2618,09/11,5
2618,09/12,5
2618,09/13,5
2618,09/14,5
2618,09/15,5
2619,09/09,2
2619,09/10,2
2619,09/11,2
2619,09/12,2
2619,09/13,3
2619,09/14,3
2619,09/15,3
2620,09/09,17
2620,09/10,17
2620,09/11,17
2620,09/12,17
2620,09/13,17
2620,09/14,17
2620,09/15,17
2621,09/09,11
2621,09/10,11
2621,09/11,11
2621,09/12,11
2621,09/13,11
2621,09/14,11
2621,09/15,11
2622,09/09,15
2622,09/10,15
2622,09/11,15
2622,09/12,14
2622,09/13,14
2622,09/14,14
2622,09/15,14
2623,09/09,15
2623,09/10,15
2623,09/11,15
2623,09/12,15
2623,09/13,15
2623,09/14,15
2623,09/15,15
2624,09/09,15
2624,09/10,15
2624,09/11,15
2624,09/12,15
2624,09/13,15
2624,09/14,15
2624,09/15,15
2625,09/09,8
2625,09/10,8
2625,09/11,8
2625,09/12,8
2625,09/13,8
2625,09/14,8
2625,09/15,8
2626,09/09,16
2626,09/10,16
2626,09/11,16
2626,09/12,16
2626,09/13,16
2626,09/14,16
2626,09/15,16
2627,09/09,18
2627,09/10,18
2627,09/11,18
2627,09/12,18
2627,09/13,17
2627,09/14,16
2627,09/15,16
2628,09/09,16
2628,09/10,16
2628,09/11,16
2628,09/12,16
2628,09/13,17
2628,09/14,17
2628,09/15,17
2629,09/09,11
2629,09/10,11
2629,09/11,11
2629,09/12,11
2629,09/13,11
2629,09/14,11
2629,09/15,11
2630,09/09,10
2630,09/10,10
2630,09/11,10
2630,09/12,10
2630,09/13,10
2630,09/14,10
2630,09/15,10
2631,09/09,5
2631,09/10,5
2631,09/11,5
2631,09/12,5
2631,09/13,5
2631,09/14,5
2631,09/15,5
2632,09/09,6
2632,09/10,6
2632,09/11,6
2632,09/12,6
2632,09/13,6
2632,09/14,6
2632,09/15,6
2633,09/09,10
2633,09/10,10
2633,09/11,10
2633,09/12,9
2633,09/13,8
2633,09/14,8
2633,09/15,8
2641,09/09,2
2641,09/10,2
2641,09/11,2
2641,09/12,2
2641,09/13,2
2641,09/14,2
2641,09/15,2
2642,09/09,0
2642,09/10,0
2642,09/11,0
2642,09/12,0
2642,09/13,0
2642,09/14,0
2642,09/15,0
2646,09/09,4
2646,09/10,4
2646,09/11,4
2646,09/12,4
2646,09/13,4
2646,09/14,4
2646,09/15,4
2648,09/09,2
2648,09/10,2
2648,09/11,2
2648,09/12,2
2648,09/13,2
2648,09/14,2
2648,09/15,2
2651,09/09,0
2651,09/10,0
2651,09/11,0
2651,09/12,0
2651,09/13,0
2651,09/14,0
2651,09/15,0
2652,09/09,6
2652,09/10,5
2652,09/11,5
2652,09/12,5
2652,09/13,5
2652,09/14,5
2652,09/15,5
2654,09/09,0
2654,09/10,0
2654,09/11,0
2654,09/12,0
2654,09/13,0
