id,code,name
5247,JDST 312 01,Hebrew Poetry in Muslim Spain
5247,LITR 196 01,Hebrew Poetry in Muslim Spain
5247,MMES 312 01,Hebrew Poetry in Muslim Spain
5247,NELC 323 01,Hebrew Poetry in Muslim Spain
5254,JDST 375 01,Two Medieval Jewish Philosophers: Judah Halevi and Maimonides
5255,JDST 375 02,Two Medieval Jewish Philosophers: Judah Halevi and Maimonides
5258,JDST 492 01,The Senior Essay
5260,JDST 672 01,Readings in Babylonian Aramaic Texts
5260,SMTC 535 01,Readings in Babylonian Aramaic Texts
5266,KHMR 120 01,Elementary Khmer II
5267,KHMR 140 01,Intermediate Khmer II
5268,KREN 110 01,Elementary Korean I
5269,KREN 110 02,Elementary Korean I
5270,KREN 110 03,Elementary Korean I
5271,KREN 110 04,Elementary Korean I
5272,KREN 110 05,Elementary Korean I
5273,KREN 120 01,Elementary Korean II
5274,KREN 120 02,Elementary Korean II
5275,KREN 120 03,Elementary Korean II
5276,KREN 120 04,Elementary Korean II
5277,KREN 120 05,Elementary Korean II
5278,KREN 140 01,Intermediate Korean II
5279,KREN 142 01,Intermediate Korean for Advanced Learners II
5280,KREN 151 01,Advanced Korean II: Language and Culture through Media
5281,KREN 154 01,Advanced Korean III
5282,KREN 154 02,Advanced Korean III
5294,LAST 370 01,Continuities and Discontinuities of Violence in Latin America
5294,HIST 310J 01,Continuities and Discontinuities of Violence in Latin America
5295,LAST 491 01,The Senior Essay
5296,LATN 120 01,Beginning Latin: Review of Grammar and Selected Readings
5297,LATN 120 02,Beginning Latin: Review of Grammar and Selected Readings
5298,LATN 141 01,Latin Poetry: An Introduction
5299,LATN 390 01,Latin Syntax and Stylistics
5300,LATN 420 01,Latin from Colonial Mexico
5300,LATN 720 01,Latin from Colonial Mexico
5300,EMST 620 01,Latin from Colonial Mexico
5301,LATN 436 01,Latin Epistolography
5302,LATN 736 01,Latin Epistolography
5303,LATN 790 01,Latin Syntax and Stylistics
5304,LAW 20317 01,Secured Transactions
5305,LAW 21017 01,Property
5307,LAW 21027 01,Advanced Legal Research: Methods and Sources
5309,LAW 21037 01,[The] Burden of Proof: Appreciating and Understanding Evidence in a Seemingly Post-Truth World
5310,LAW 21040 01,Business Organizations
5311,LAW 21041 01,"Law, Economics, and Organization"
5312,LAW 21048 01,Administrative Law
5313,LAW 21050 01,Federal Income Taxation
5314,LAW 21055 01,Civil Pretrial Litigation
5315,LAW 21065 01,Securities Regulation
5316,LAW 21068 01,Antitrust
5317,LAW 21080 01,Research Methods in United States Legal History
5318,LAW 21097 01,Medical Legal Partnerships
5319,LAW 21100 01,U.S. International Taxation
5320,LAW 21124 01,Federal and State Courts in a Federal System
5321,LAW 21136 01,Employment and Labor Law
5322,LAW 21137 01,Democracy and Executive Power: Policymaking Accountability in Comparative Perspective
5323,LAW 21139 01,Legal History Forum
5324,LAW 21144 01,Education Law
5325,LAW 21149 01,Third World Approaches to International Law: Seminar
5327,LAW 21156 01,Law and Economics and Law and Macroeconomics: Directed Research
5328,LAW 21159 01,Antitrust and Democracy
5330,LAW 21162 01,Health Law
5331,LAW 21175 01,Local Government Law
5332,LAW 21179 01,Contemporary China and U.S.-China Relations: Research Seminar
5332,GLBL 6175 01,Contemporary China and U.S.-China Relations: Research Seminar
5333,LAW 21193 01,Human Rights Workshop: Current Issues and Events
5334,LAW 21204 01,Bankruptcy
5335,LAW 21209 01,International Business Transactions
5335,MGT 661 01,International Business Transactions
5336,LAW 21214 01,Law and Religion: The Free Exercise of Religion
5337,LAW 21217 01,Criminal Procedure: Adjudication
5338,LAW 21244 01,Reforming the Court(s)
5339,LAW 21246 01,Separation of Powers: Seminar
5340,LAW 21248 01,Comparative Constitutional Law
5340,PLSC 709 01,Comparative Constitutional Law
5341,LAW 21249 01,Intervening in the Criminalization of Youth and Queer and Trans Individuals: Seminar and Practicum
5342,LAW 21258 01,Comparative Criminal Law: Fair Trials: Seminar
5343,LAW 21262 01,On the Inside: Narratives from Prison
5344,LAW 21267 01,American Global Power Since the Cold War
5345,LAW 21272 01,Living Civil Rights Law
5346,LAW 21276 01,"Wills, Trusts and Estates"
5347,LAW 21277 01,Evidence
5348,LAW 21283 01,International Commercial Arbitration
5348,MGT 625 01,International Commercial Arbitration
5349,LAW 21285 01,Law in Western History
5350,LAW 21289 01,Thirteen Ways of Looking at Brown v. Board of Education
5351,LAW 21297 01,Professional Responsibility
5352,LAW 21325 01,Media and Technology Industries: Public Policy and Business Strategy
5352,MGT 670 01,Media and Technology Industries: Public Policy and Business Strategy
5353,LAW 21326 01,Blockchain and Digital Assets: A New Birth for Trust?
5354,LAW 21339 01,Disability Law
5355,LAW 21343 01,Advanced Legal Writing
5356,LAW 21345 01,Constitutional Litigation Seminar
5357,LAW 21375 01,Gaming Law
5358,LAW 21380 01,[The] Jurisprudence of Sports
5359,LAW 21381 01,"Law, Leadership and Ethics in Sports Leagues"
5360,LAW 21382 01,Professional Responsibility
5361,LAW 21387 01,Children and the Constitution: Seminar
5362,LAW 21390 01,Confronting America's Consitutional Crisis
5362,PLSC 859 01,Confronting America's Consitutional Crisis
5363,LAW 21397 01,Corporate Litigation Seminar
5366,LAW 21408 01,Philosophy of Law: Normative Jurisprudence
5366,PHIL 715 01,Philosophy of Law: Normative Jurisprudence
5367,LAW 21414 01,Foundations of American Legal Thought
5367,HIST 759 01,Foundations of American Legal Thought
5368,LAW 21414 0,Foundations of American Legal Thought
5369,LAW 21426 01,"Capital Punishment: Race, Poverty, and Disadvantage"
5370,LAW 21429 01,"Race, Inequality, and the Law: Directed Research"
5371,LAW 21430 01,White Collar Criminal Defense: Critical Issues and Strategies
5372,LAW 21431 01,Nonstate Law
5373,LAW 21448 01,"Criminal Procedure: Investigations, Seizures and the Constitutional Constraints on the Police"
5374,LAW 21454 01,Introduction to International and Transnational Law
5374,GLBL 7545 01,Introduction to International and Transnational Law
5375,LAW 21463 01,Sex Discrimination in Education
5376,LAW 21469 01,"Estate Planning: Estate, Gift, and Generation-Skipping Transfer Taxes and Related Income Tax Issues"
5377,LAW 21471 01,"Brain Injury, Medical Ethics, Disability Rights: Directed Research"
5378,LAW 21482 01,Family Law
5379,LAW 21486 01,Introduction to Legal Research Methods and Sources
5380,LAW 21500 01,European Union Law
5380,E&RS 570 01,European Union Law
5380,GLBL 6135 01,European Union Law
5381,LAW 21507 01,Corporate Finance in Modern Society
5382,LAW 21511 01,Advanced Deals Workshop: Public Company Mergers and Acquisitions
5383,LAW 21520 01,Comparative Constitutional Law
5384,LAW 21524 01,Corporate Taxation
5385,LAW 21528 01,Living Civil Rights Law: Directed Research
5387,LAW 21534 01,Liman Public Interest Workshop: Liman Workshop: Imprisoned
5388,LAW 21537 01,Narrative in Law and Literature
5388,CPLT 516 01,Narrative in Law and Literature
5389,LAW 21546 01,"Litigating Civil Rights, Policing, and Imprisonment"
5390,LAW 21548 01,Negotiating International Agreements: The Case of Climate Change
5391,LAW 21556 01,Legal Theory Workshop Colloquium
